,PASSENGERS,Passenger Miles,Origin,Destination,Starting Point,Ending Point,geometry
16,1383191,468543554,"Minneapolis, MN","Chicago, IL",POINT (-93.2650108 44.977753),POINT (-93.2650108 44.977753),POINT (-93.2650108 44.977753)
17,1382623,1052976898,"New York, NY","Atlanta, GA",POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837)
18,1382565,1052925830,"Atlanta, GA","New York, NY",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
19,1373489,554889565,"Atlanta, GA","Orlando, FL",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
20,1355498,547621192,"Orlando, FL","Atlanta, GA",POINT (-81.3792365 28.5383355),POINT (-81.3792365 28.5383355),POINT (-81.3792365 28.5383355)
21,1344231,810947311,"Washington, DC","Chicago, IL",POINT (-77.03687069999999 38.9071923),POINT (-77.03687069999999 38.9071923),POINT (-77.03687069999999 38.9071923)
22,1319922,796529780,"Chicago, IL","Washington, DC",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
23,1317503,2433195722,"San Francisco, CA","Chicago, IL",POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295)
24,1312348,2423627401,"Chicago, IL","San Francisco, CA",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
25,1268303,1128986382,"Chicago, IL","Denver, CO",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
26,1265249,298598764,"Las Vegas, NV","Los Angeles, CA",POINT (-115.1398296 36.1699412),POINT (-115.1398296 36.1699412),POINT (-115.1398296 36.1699412)
27,1257485,1349199821,"Fort Lauderdale, FL","New York, NY",POINT (-80.13731740000001 26.1224386),POINT (-80.13731740000001 26.1224386),POINT (-80.13731740000001 26.1224386)
28,1256662,1118586939,"Denver, CO","Chicago, IL",POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358)
29,1254312,1345795739,"New York, NY","Fort Lauderdale, FL",POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837)
30,1249111,1182241724,"New York, NY","Orlando, FL",POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837)
31,1244407,293680052,"Los Angeles, CA","Las Vegas, NV",POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342)
32,1231489,668677606,"Washington, DC","Atlanta, GA",POINT (-77.03687069999999 38.9071923),POINT (-77.03687069999999 38.9071923),POINT (-77.03687069999999 38.9071923)
33,1228217,1162452088,"Orlando, FL","New York, NY",POINT (-81.3792365 28.5383355),POINT (-81.3792365 28.5383355),POINT (-81.3792365 28.5383355)
34,1224894,665251439,"Atlanta, GA","Washington, DC",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
35,1199686,697017566,"Atlanta, GA","Fort Lauderdale, FL",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
36,1197594,695802114,"Fort Lauderdale, FL","Atlanta, GA",POINT (-80.13731740000001 26.1224386),POINT (-80.13731740000001 26.1224386),POINT (-80.13731740000001 26.1224386)
37,1195913,3092573982,"San Francisco, CA","New York, NY",POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295)
38,1189128,3075030268,"New York, NY","San Francisco, CA",POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837)
39,1183177,1461223595,"Dallas/Fort Worth, TX","Los Angeles, CA",POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091)
40,1164625,1438311875,"Los Angeles, CA","Dallas/Fort Worth, TX",POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342)
41,1103895,2821555620,"Honolulu, HI","Los Angeles, CA",POINT (-157.8583333 21.3069444),POINT (-157.8583333 21.3069444),POINT (-157.8583333 21.3069444)
42,1103699,955744005,"Chicago, IL","Boston, MA",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
43,1100855,1669692892,"Las Vegas, NV","Chicago, IL",POINT (-115.1398296 36.1699412),POINT (-115.1398296 36.1699412),POINT (-115.1398296 36.1699412)
44,1097541,1664621827,"Chicago, IL","Las Vegas, NV",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
45,1097203,203570188,"Boston, MA","New York, NY",POINT (-71.0588801 42.3600825),POINT (-71.0588801 42.3600825),POINT (-71.0588801 42.3600825)
46,1092307,202651207,"New York, NY","Boston, MA",POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837)
47,1092167,2791578852,"Los Angeles, CA","Honolulu, HI",POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342)
48,1090765,1040591220,"Los Angeles, CA","Seattle, WA",POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342)
49,1088543,942628029,"Boston, MA","Chicago, IL",POINT (-71.0588801 42.3600825),POINT (-71.0588801 42.3600825),POINT (-71.0588801 42.3600825)
50,1088541,1038469409,"Seattle, WA","Los Angeles, CA",POINT (-122.3320708 47.6062095),POINT (-122.3320708 47.6062095),POINT (-122.3320708 47.6062095)
51,1088485,655255090,"Phoenix, AZ","Denver, CO",POINT (-112.0740373 33.4483771),POINT (-112.0740373 33.4483771),POINT (-112.0740373 33.4483771)
52,1082106,1559661564,"Chicago, IL","Phoenix, AZ",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
53,1073532,1547308728,"Phoenix, AZ","Chicago, IL",POINT (-112.0740373 33.4483771),POINT (-112.0740373 33.4483771),POINT (-112.0740373 33.4483771)
54,1073514,646254882,"Denver, CO","Phoenix, AZ",POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358)
55,1071451,443580720,"Las Vegas, NV","San Francisco, CA",POINT (-115.1398296 36.1699412),POINT (-115.1398296 36.1699412),POINT (-115.1398296 36.1699412)
56,1053549,436169292,"San Francisco, CA","Las Vegas, NV",POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295)
57,1049236,1049012790,"Chicago, IL","Orlando, FL",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
58,1047348,839972041,"Dallas/Fort Worth, TX","Chicago, IL",POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091)
59,1044326,423996412,"Atlanta, GA","Tampa, FL",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
60,1043618,423708964,"Tampa, FL","Atlanta, GA",POINT (-82.45717759999999 27.950575),POINT (-82.45717759999999 27.950575),POINT (-82.45717759999999 27.950575)
61,1040846,1040577075,"Orlando, FL","Chicago, IL",POINT (-81.3792365 28.5383355),POINT (-81.3792365 28.5383355),POINT (-81.3792365 28.5383355)
62,1037732,832261064,"Chicago, IL","Dallas/Fort Worth, TX",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
63,1027223,1418844181,"Houston, TX","Los Angeles, CA",POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267)
64,1018406,3898517464,"Honolulu, HI","Tokyo, Japan",POINT (-157.8583333 21.3069444),POINT (-157.8583333 21.3069444),POINT (-157.8583333 21.3069444)
65,1017910,1981870770,"Atlanta, GA","Los Angeles, CA",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
66,1011692,3873124813,"Tokyo, Japan","Honolulu, HI",POINT (139.6917064 35.6894875),POINT (139.6917064 35.6894875),POINT (139.6917064 35.6894875)
67,1011440,1969273680,"Los Angeles, CA","Atlanta, GA",POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342)
68,997914,729476190,"Atlanta, GA","Dallas/Fort Worth, TX",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
69,996652,676727943,"San Francisco, CA","Seattle, WA",POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295)
70,994700,400400966,"Boston, MA","Washington, DC",POINT (-71.0588801 42.3600825),POINT (-71.0588801 42.3600825),POINT (-71.0588801 42.3600825)
71,993956,539648645,"Charlotte, NC","New York, NY",POINT (-80.8431267 35.2270869),POINT (-80.8431267 35.2270869),POINT (-80.8431267 35.2270869)
72,993437,1372231210,"Los Angeles, CA","Houston, TX",POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342)
73,987804,397706554,"Washington, DC","Boston, MA",POINT (-77.03687069999999 38.9071923),POINT (-77.03687069999999 38.9071923),POINT (-77.03687069999999 38.9071923)
74,986172,98617200,"Kahului, HI","Honolulu, HI",POINT (-156.4729469 20.8893351),POINT (-156.4729469 20.8893351),POINT (-156.4729469 20.8893351)
75,985040,98504000,"Honolulu, HI","Kahului, HI",POINT (-157.8583333 21.3069444),POINT (-157.8583333 21.3069444),POINT (-157.8583333 21.3069444)
76,984729,848836381,"Los Angeles, CA","Denver, CO",POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342)
77,983855,913523799,"Chicago, IL","Houston, TX",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
78,982952,533698052,"New York, NY","Charlotte, NC",POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837)
79,981955,911727775,"Houston, TX","Chicago, IL",POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267)
80,981829,846336598,"Denver, CO","Los Angeles, CA",POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358)
81,979808,665290722,"Seattle, WA","San Francisco, CA",POINT (-122.3320708 47.6062095),POINT (-122.3320708 47.6062095),POINT (-122.3320708 47.6062095)
82,976442,675752882,"Atlanta, GA","Houston, TX",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
83,972892,711184052,"Dallas/Fort Worth, TX","Atlanta, GA",POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091)
84,969525,655038080,"Philadelphia, PA","Chicago, IL",POINT (-75.1652215 39.9525839),POINT (-75.1652215 39.9525839),POINT (-75.1652215 39.9525839)
85,967088,669253098,"Houston, TX","Atlanta, GA",POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267)
86,964870,651851790,"Chicago, IL","Philadelphia, PA",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
87,944349,213422874,"Atlanta, GA","Charlotte, NC",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
88,938769,814087686,"Denver, CO","Houston, TX",POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358)
89,934519,810604975,"Houston, TX","Denver, CO",POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267)
90,933135,210888510,"Charlotte, NC","Atlanta, GA",POINT (-80.8431267 35.2270869),POINT (-80.8431267 35.2270869),POINT (-80.8431267 35.2270869)
91,924914,615992724,"Atlanta, GA","Philadelphia, PA",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
92,910587,606450942,"Philadelphia, PA","Atlanta, GA",POINT (-75.1652215 39.9525839),POINT (-75.1652215 39.9525839),POINT (-75.1652215 39.9525839)
93,879548,1221910110,"Dallas/Fort Worth, TX","New York, NY",POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091)
94,879215,1221431511,"New York, NY","Dallas/Fort Worth, TX",POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837)
95,876803,1269610744,"Seattle, WA","Anchorage, AK",POINT (-122.3320708 47.6062095),POINT (-122.3320708 47.6062095),POINT (-122.3320708 47.6062095)
96,874954,549471112,"Denver, CO","Las Vegas, NV",POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358)
97,874758,1266649584,"Anchorage, AK","Seattle, WA",POINT (-149.9002778 61.2180556),POINT (-149.9002778 61.2180556),POINT (-149.9002778 61.2180556)
98,861608,617906744,"Chicago, IL","Newark, NJ",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
99,860848,617317672,"Newark, NJ","Chicago, IL",POINT (-74.1723667 40.735657),POINT (-74.1723667 40.735657),POINT (-74.1723667 40.735657)
100,859967,510820398,"Miami, FL","Atlanta, GA",POINT (-80.1917902 25.7616798),POINT (-80.1917902 25.7616798),POINT (-80.1917902 25.7616798)
101,859929,318177024,"Phoenix, AZ","Los Angeles, CA",POINT (-112.0740373 33.4483771),POINT (-112.0740373 33.4483771),POINT (-112.0740373 33.4483771)
102,856528,508777632,"Atlanta, GA","Miami, FL",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
103,855343,537155212,"Las Vegas, NV","Denver, CO",POINT (-115.1398296 36.1699412),POINT (-115.1398296 36.1699412),POINT (-115.1398296 36.1699412)
104,853458,4657531283,"Los Angeles, CA","London, United Kingdom",POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342)
105,848704,544019264,"Dallas/Fort Worth, TX","Denver, CO",POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091)
106,845785,542148185,"Denver, CO","Dallas/Fort Worth, TX",POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358)
107,834206,308656286,"Los Angeles, CA","Phoenix, AZ",POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342)
108,833199,4546980012,"London, United Kingdom","Los Angeles, CA",POINT (-0.1277583 51.5073509),POINT (-0.1277583 51.5073509),POINT (-0.1277583 51.5073509)
109,821254,294789498,"New York, NY","Toronto, Canada",POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837)
110,819153,792120951,"Denver, CO","San Francisco, CA",POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358)
111,804491,823799176,"Denver, CO","Seattle, WA",POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358)
112,801993,287861220,"Toronto, Canada","New York, NY",POINT (-79.3831843 43.653226),POINT (-79.3831843 43.653226),POINT (-79.3831843 43.653226)
113,801385,358219095,"San Diego, CA","San Francisco, CA",POINT (-117.1610838 32.715738),POINT (-117.1610838 32.715738),POINT (-117.1610838 32.715738)
114,796771,541804337,"Minneapolis, MN","Denver, CO",POINT (-93.2650108 44.977753),POINT (-93.2650108 44.977753),POINT (-93.2650108 44.977753)
115,794687,540387160,"Denver, CO","Minneapolis, MN",POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358)
116,793311,812350464,"Seattle, WA","Denver, CO",POINT (-122.3320708 47.6062095),POINT (-122.3320708 47.6062095),POINT (-122.3320708 47.6062095)
117,790353,1362008445,"Seattle, WA","Chicago, IL",POINT (-122.3320708 47.6062095),POINT (-122.3320708 47.6062095),POINT (-122.3320708 47.6062095)
118,788983,1359741510,"Chicago, IL","Seattle, WA",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
119,783458,939366142,"Denver, CO","Atlanta, GA",POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358)
120,782636,182103803,"Detroit, MI","Chicago, IL",POINT (-83.0457538 42.331427),POINT (-83.0457538 42.331427),POINT (-83.0457538 42.331427)
121,781284,936759516,"Atlanta, GA","Denver, CO",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
122,781167,2839514409,"New York, NY","Paris, France",POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837)
123,779427,862882246,"Seattle, WA","Phoenix, AZ",POINT (-122.3320708 47.6062095),POINT (-122.3320708 47.6062095),POINT (-122.3320708 47.6062095)
124,778370,1996519050,"San Francisco, CA","Newark, NJ",POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295)
125,777229,669194169,"Orlando, FL","Philadelphia, PA",POINT (-81.3792365 28.5383355),POINT (-81.3792365 28.5383355),POINT (-81.3792365 28.5383355)
126,776643,859777249,"Phoenix, AZ","Seattle, WA",POINT (-112.0740373 33.4483771),POINT (-112.0740373 33.4483771),POINT (-112.0740373 33.4483771)
127,775755,667925055,"Philadelphia, PA","Orlando, FL",POINT (-75.1652215 39.9525839),POINT (-75.1652215 39.9525839),POINT (-75.1652215 39.9525839)
128,774135,180136848,"Chicago, IL","Detroit, MI",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
129,773564,345783108,"San Francisco, CA","San Diego, CA",POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295)
130,770092,207924840,"Jacksonville, FL","Atlanta, GA",POINT (-81.65565099999999 30.3321838),POINT (-81.65565099999999 30.3321838),POINT (-81.65565099999999 30.3321838)
131,765477,1963448505,"Newark, NJ","San Francisco, CA",POINT (-74.1723667 40.735657),POINT (-74.1723667 40.735657),POINT (-74.1723667 40.735657)
132,764239,2777981489,"Paris, France","New York, NY",POINT (2.3522219 48.856614),POINT (2.3522219 48.856614),POINT (2.3522219 48.856614)
133,764040,738826680,"San Francisco, CA","Denver, CO",POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295)
134,756912,436738224,"Baltimore, MD","Atlanta, GA",POINT (-76.6121893 39.2903848),POINT (-76.6121893 39.2903848),POINT (-76.6121893 39.2903848)
135,756701,204309270,"Atlanta, GA","Jacksonville, FL",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
136,755614,435989278,"Atlanta, GA","Baltimore, MD",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
137,751546,162879586,"New York, NY","Washington, DC",POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837)
138,749909,171730045,"Dallas/Fort Worth, TX","Houston, TX",POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091)
139,745414,676090487,"Minneapolis, MN","Atlanta, GA",POINT (-93.2650108 44.977753),POINT (-93.2650108 44.977753),POINT (-93.2650108 44.977753)
140,739472,160275571,"Washington, DC","New York, NY",POINT (-77.03687069999999 38.9071923),POINT (-77.03687069999999 38.9071923),POINT (-77.03687069999999 38.9071923)
141,738247,313754975,"New Orleans, LA","Atlanta, GA",POINT (-90.0715323 29.95106579999999),POINT (-90.0715323 29.95106579999999),POINT (-90.0715323 29.95106579999999)
142,736976,668437232,"Atlanta, GA","Minneapolis, MN",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
143,735738,168412287,"Houston, TX","Dallas/Fort Worth, TX",POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267)
144,735553,312610025,"Atlanta, GA","New Orleans, LA",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
145,733349,435609306,"Atlanta, GA","Detroit, MI",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
146,726728,284150648,"Salt Lake City, UT","Denver, CO",POINT (-111.8910474 40.7607793),POINT (-111.8910474 40.7607793),POINT (-111.8910474 40.7607793)
147,722132,428946408,"Detroit, MI","Atlanta, GA",POINT (-83.0457538 42.331427),POINT (-83.0457538 42.331427),POINT (-83.0457538 42.331427)
148,717150,671969550,"Newark, NJ","Orlando, FL",POINT (-74.1723667 40.735657),POINT (-74.1723667 40.735657),POINT (-74.1723667 40.735657)
149,716243,280051013,"Denver, CO","Salt Lake City, UT",POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358)
150,713264,674747744,"Atlanta, GA","Boston, MA",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
151,713260,1750340040,"Los Angeles, CA","Newark, NJ",POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342)
152,710490,672123540,"Boston, MA","Atlanta, GA",POINT (-71.0588801 42.3600825),POINT (-71.0588801 42.3600825),POINT (-71.0588801 42.3600825)
153,706026,1233427422,"Las Vegas, NV","Atlanta, GA",POINT (-115.1398296 36.1699412),POINT (-115.1398296 36.1699412),POINT (-115.1398296 36.1699412)
154,704548,835218216,"Washington, DC","Dallas/Fort Worth, TX",POINT (-77.03687069999999 38.9071923),POINT (-77.03687069999999 38.9071923),POINT (-77.03687069999999 38.9071923)
155,701095,831160600,"Dallas/Fort Worth, TX","Washington, DC",POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091)
156,700357,1606268764,"Los Angeles, CA","Washington, DC",POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342)
157,699678,249085368,"Raleigh/Durham, NC","Atlanta, GA",POINT (-78.86364019999999 35.8991678),POINT (-78.86364019999999 35.8991678),POINT (-78.86364019999999 35.8991678)
158,694274,650534738,"Orlando, FL","Newark, NJ",POINT (-81.3792365 28.5383355),POINT (-81.3792365 28.5383355),POINT (-81.3792365 28.5383355)
159,693120,177164480,"Phoenix, AZ","Las Vegas, NV",POINT (-112.0740373 33.4483771),POINT (-112.0740373 33.4483771),POINT (-112.0740373 33.4483771)
160,692422,176968772,"Las Vegas, NV","Phoenix, AZ",POINT (-115.1398296 36.1699412),POINT (-115.1398296 36.1699412),POINT (-115.1398296 36.1699412)
161,692087,883103012,"Minneapolis, MN","Phoenix, AZ",POINT (-93.2650108 44.977753),POINT (-93.2650108 44.977753),POINT (-93.2650108 44.977753)
162,691767,1208516949,"Atlanta, GA","Las Vegas, NV",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
163,688822,878936872,"Phoenix, AZ","Minneapolis, MN",POINT (-112.0740373 33.4483771),POINT (-112.0740373 33.4483771),POINT (-112.0740373 33.4483771)
164,687307,1686651378,"Newark, NJ","Los Angeles, CA",POINT (-74.1723667 40.735657),POINT (-74.1723667 40.735657),POINT (-74.1723667 40.735657)
165,686042,594798414,"Las Vegas, NV","Seattle, WA",POINT (-115.1398296 36.1699412),POINT (-115.1398296 36.1699412),POINT (-115.1398296 36.1699412)
166,684458,594109544,"Dallas/Fort Worth, TX","Phoenix, AZ",POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091)
167,684142,1568948895,"Washington, DC","Los Angeles, CA",POINT (-77.03687069999999 38.9071923),POINT (-77.03687069999999 38.9071923),POINT (-77.03687069999999 38.9071923)
168,683102,207431257,"New Orleans, LA","Houston, TX",POINT (-90.0715323 29.95106579999999),POINT (-90.0715323 29.95106579999999),POINT (-90.0715323 29.95106579999999)
169,681636,242662416,"Atlanta, GA","Raleigh/Durham, NC",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
170,681611,407203159,"Chicago, IL","Charlotte, NC",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
171,681261,206873046,"Houston, TX","New Orleans, LA",POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267)
172,677459,588034412,"Phoenix, AZ","Dallas/Fort Worth, TX",POINT (-112.0740373 33.4483771),POINT (-112.0740373 33.4483771),POINT (-112.0740373 33.4483771)
173,677438,513905387,"Washington, DC","Orlando, FL",POINT (-77.03687069999999 38.9071923),POINT (-77.03687069999999 38.9071923),POINT (-77.03687069999999 38.9071923)
